17/02/2021;19:42:00;Bresse;46.5524005972;5.32796429801;46.552213603;5.32768210225;46.5523071;5.3278232;316.062953;
17/02/2021;19:43:00;0;00:00.00;
17/02/2021;19:44:37;1;01:36.28;
17/02/2021;19:46:11;2;01:34.65;
17/02/2021;19:47:46;3;01:34.09;
17/02/2021;19:49:20;4;01:34.19;
17/02/2021;19:50:53;5;01:33.02;
17/02/2021;19:52:27;6;01:34.39;
17/02/2021;19:54:00;7;01:33.36;
17/02/2021;19:55:34;8;01:33.27;
